,source,smiles,inchi,inchikey,validation
0,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,O=C(N[C@@H]1C2CCN(CC2)[C@H]1Cc1cccnc1)c1cc2ccccc2o1,"InChI=1S/C22H23N3O2/c26-22(20-13-17-5-1-2-6-19(17)27-20)24-21-16-7-10-25(11-8-16)18(21)12-15-4-3-9-23-14-15/h1-6,9,13-14,16,18,21H,7-8,10-12H2,(H,24,26)/t18-,21+/m0/s1",OXKRFEWMSWPKKV-GHTZIAJQSA-N,True
1,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,C[C@H](NC(=O)[C@H]1CCCO1)[C@H](Oc1ccc(C(=O)O[C@H]2CCCN(C(=O)[C@H]3COC(=O)C3)C2)cc1)c1ccc(C2CC2)cc1,"InChI=1S/C34H40N2O8/c1-21(35-32(38)29-5-3-17-41-29)31(24-10-8-23(9-11-24)22-6-7-22)43-27-14-12-25(13-15-27)34(40)44-28-4-2-16-36(19-28)33(39)26-18-30(37)42-20-26/h8-15,21-22,26,28-29,31H,2-7,16-20H2,1H3,(H,35,38)/t21-,26+,28-,29+,31-/m0/s1",NADMBBGHEQYUMJ-WDXNIXBWSA-N,True
2,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,CC[C@@H](C(=O)Nc1ccc(C(N)=O)c(F)c1)n1cc(OC)c(-c2cc(Cl)ccc2-n2cc(C(F)(F)F)nn2)cc1=O,,,False
3,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,[H]C1(N2C=NC3=C2N=CN=C3N)OC2([H])COP(=O)(S)OC34([H])C5(N6C=NC7=C6N=CN=C7N)OC([H])(COP(=O)(S)OC2([H])C1O)[CH]3(O)C54[H].[H]CCCC,"InChI=1S/C21H24N10O10P2S2.C4H10/c22-13-9-15(26-3-24-13)30(5-28-9)17-11(32)12-7(38-17)1-36-43(35,45)41-20-18-19(20,33)8(2-37-42(34,44)40-12)39-21(18,20)31-6-29-10-14(23)25-4-27-16(10)31;1-3-4-2/h3-8,11-12,17-20,32-33H,1-2H2,(H,34,44)(H,35,45)(H2,22,24,26)(H2,23,25,27);3-4H2,1-2H3/t7-,8-,11-,12-,17-,18+,21?,42?,43?;/m0./s1",JQSAZFDTAAEIPL-LAJVSCNKSA-N,False
4,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,CC.CC1=C(F)C2(=CC3=C(C4=C(F)C(OC5CC5)=CC(Cl)=C4F)N1(C)N=C3)C=C(C#N)C(OC1CC1)=CC(Cl)=C2F,,,False
5,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,Cc1cnc2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCNC4)cc3F)cnn2c1,"InChI=1S/C25H25FN6O/c1-16-12-29-24-21(14-30-31(24)15-16)20-8-7-18(11-22(20)26)25(33)32(19-6-4-9-27-13-19)23-17(2)5-3-10-28-23/h3,5,7-8,10-12,14-15,19,27H,4,6,9,13H2,1-2H3/t19-/m1/s1",YTRBUPKEYPDQGD-LJQANCHMSA-N,False
6,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@@]4(NCCN5CC[S@TB5](=O)(=O)CC5)CC[C@@H](C(=C)C)[C@@]43[H])[C@]1(C)CC[C@@]1([H])C(C)(C)C(C3=CC[C@@](CF)(C(=O)O)CC3)=CC[C@]21C,"InChI=1S/C43H67FN2O4S/c1-29(2)31-12-19-43(45-22-23-46-24-26-51(49,50)27-25-46)21-20-40(6)33(36(31)43)8-9-35-39(5)15-13-32(38(3,4)34(39)14-16-41(35,40)7)30-10-17-42(28-44,18-11-30)37(47)48/h10,13,31,33-36,45H,1,8-9,11-12,14-28H2,2-7H3,(H,47,48)/t31-,33+,34-,35+,36+,39-,40+,41+,42+,43-/m0/s1",YFSNREBZTKMFEB-DHGHKPCRSA-N,True
7,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,"InChI=1S/C22H17ClF3N9O2/c1-32-7-12-4-18(13(23)5-17(12)30-32)28-20-29-21(36)35(9-19-27-10-33(2)31-19)22(37)34(20)8-11-3-15(25)16(26)6-14(11)24/h3-7,10H,8-9H2,1-2H3,(H,28,29,36)",QMPBBNUOBOFBFS-UHFFFAOYSA-N,True
8,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,COCCN(CCOCCOCc1cccc(C(=O)Nc2sc3c(c2C(=O)N/N=C/c2ccc(Cl)c(C(F)(F)F)c2)CCC(C)(C)C3)c1)CC(=O)O,,,False
9,4-MOTM-Infographic-PDF-Summaries-Tables-for-Download.pdf,CC1CC1(=O)O.Cc1cc(N(C)C(=O)[C@H]2CC[C@H](Oc3cccc(CO)c3)CC2)ccc1CN1CCN[C@@H](C)C1.O=C(O)[C@@H](O)[C@@H](O)C(=O)O,,,False
